GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo1,com.example.demo.exception,SuburbNotFoundException,0,4,0,0,0,2,0,1,0,1
demo1,com.example.demo.exception,ResourceAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
demo1,com.example.demo.exception,PostCodeNotFoundException,0,4,0,0,0,2,0,1,0,1
demo1,com.example.demo.area,AreaService,0,86,0,6,0,15,0,7,0,4
demo1,com.example.demo.area,AreaPostcodeResponse,0,20,0,0,0,9,0,5,0,5
demo1,com.example.demo.area,Area.AreaBuilder,6,21,0,0,0,1,1,4,1,4
demo1,com.example.demo.area,AreaConfig,0,59,0,0,0,16,0,3,0,3
demo1,com.example.demo.area,CreateAreaRequest.CreateAreaRequestBuilder,6,21,0,0,0,1,1,4,1,4
demo1,com.example.demo.area,AreaController,12,27,0,0,1,3,1,3,1,3
demo1,com.example.demo.area,AreaResponseMapperImpl,0,107,0,14,0,31,0,13,0,6
demo1,com.example.demo.area,AreaPostcodeResponse.AreaPostcodeResponseBuilder,4,14,0,0,0,1,1,3,1,3
demo1,com.example.demo.area,Area,0,30,0,0,0,13,0,7,0,7
demo1,com.example.demo.filters,CsrfLoggerFilter,0,18,0,0,0,5,0,2,0,2
